cu_number,cycle_date,join_number,rssd,cu_type,cu_name,city,state,cdfi
60598,12/31/17 00:00,15024,513498,2,MEMBERS EXCHANGE,Jackson,MS,1
61667,12/31/17 00:00,15989,64897,2,MENDO LAKE,Santa Rosa,CA,1
67330,12/31/17 00:00,22469,845395,2,MIAMI POSTAL SERVICE,MIAMI,FL,1
20194,12/31/17 00:00,10748,345680,1,MID MINNESOTA,BAXTER,MN,1
12084,12/31/17 00:00,6007,106685,1,MID OREGON,BEND,OR,1
11300,12/31/17 00:00,5551,655884,1,MISSOULA,MISSOULA,MT,1
7471,12/31/17 00:00,3436,621487,1,MOLOKAI COMMUNITY,Kaunakakai,HI,1
856,12/31/17 00:00,425,201674,1,MOUNTAIN STAR,EL PASO,TX,1
8129,12/31/17 00:00,3808,554080,1,MOUNTAIN WEST,BUTTE,MT,1
15757,12/31/17 00:00,8195,601283,1,MT ZION INDIANAPOLIS,Indianapolis,IN,1
66787,12/31/17 00:00,21009,572794,2,MUNICIPAL EMPL.CREDIT UNION OF BALT,Baltimore,MD,1
65208,12/31/17 00:00,19436,321497,2,NATCO,RICHMOND,IN,1
24589,12/31/17 00:00,26285,2561952,1,NEIGHBORHOOD TRUST,NEW YORK,NY,1
24167,12/31/17 00:00,14295,529293,1,NEW COMMUNITY,Newark,NJ,1
24784,12/31/17 00:00,26413,3605022,1,NEW COVENANT DOMINION,Bronx,NY,1
616,12/31/17 00:00,314,125378,1,NEW HORIZON,BARBERTON,OH,1
23958,12/31/17 00:00,14086,933498,1,NEW YORK UNIVERSITY,New York,NY,1
66970,12/31/17 00:00,21191,988591,2,NEWPORT NEWS MUN. EMP CREDIT UNION,Newport News,VA,1
16893,12/31/17 00:00,8861,327088,1,NEWRIZONS,Hoquiam,WA,1
4261,12/31/17 00:00,1895,351672,1,NORSTATE,MADAWASKA,ME,1
12004,12/31/17 00:00,5959,63283,1,NORTH CAROLINA COMMUNITY,GOLDSBORO,NC,1
66734,12/31/17 00:00,20956,1892,2,NORTH COAST,BELLINGHAM,WA,1
95786,12/31/17 00:00,23747,148096,3,NORTH COAST CREDIT UNION,FAIRVIEW PARK,OH,1
1015,12/31/17 00:00,509,624974,1,NORTH JERSEY,TOTOWA,NJ,1
21550,12/31/17 00:00,11756,135489,1,NORTH SIDE COMMUNITY,Chicago,IL,1
23780,12/31/17 00:00,13909,848592,1,NORTHEAST COMMUNITY,SAN FRANCISCO,CA,1
67021,12/31/17 00:00,21242,522593,2,NORTHEAST COMMUNITY,ELIZABETHTON,TN,1
64709,12/31/17 00:00,18937,845096,2,NORTHEAST REGIONAL,HANNIBAL,MO,1
24852,12/31/17 00:00,26443,4595522,1,NORTHERN EAGLE,Nett Lake,MN,1
4805,12/31/17 00:00,2089,217376,1,NORTHERN NEW MEXICO SCHOOL EMPLOYEE,SANTA FE,NM,1
67240,12/31/17 00:00,23535,913490,2,NORTHWOODS COMMUNITY,PARK FALLS,WI,1
63425,12/31/17 00:00,17663,574396,2,NOVA,CHARLOTTE,NC,1
24583,12/31/17 00:00,26273,2507491,1,NRS COMMUNITY DEVELOPMENT,BIRMINGHAM,AL,1
68603,12/31/17 00:00,26429,4197074,2,NUEVA ESPERANZA COMMUNITY,TOLEDO,OH,1
948,12/31/17 00:00,476,763976,1,NUSENDA,ALBUQUERQUE,NM,1
68657,12/31/17 00:00,424,857772,2,NUTMEG STATE FINANCIAL,ROCKY HILL,CT,1
60105,12/31/17 00:00,14581,554099,2,OMNI COMMUNITY,BATTLE CREEK,MI,1
61495,12/31/17 00:00,15831,85799,2,ONE DETROIT,DETROIT,MI,1
2115,12/31/17 00:00,1002,93374,1,ONE SOURCE,EL PASO,TX,1
67251,12/31/17 00:00,23835,1417931,2,OPPORTUNITIES,WINOOSKI,VT,1
24831,12/31/17 00:00,14591,493497,1,ORION,Memphis,TN,1
21927,12/31/17 00:00,12089,741385,1,OSWEGO COUNTY,OSWEGO,NY,1
7641,12/31/17 00:00,3531,511485,1,OZARK,POPLAR BLUFF,MO,1
960,12/31/17 00:00,482,149972,1,PACIFIC CREST,Klamath Falls,OR,1
11804,12/31/17 00:00,5838,691686,1,PANHANDLE EDUCATORS,Panama City,FL,1
60923,12/31/17 00:00,15311,384296,2,PARK MANOR CHRISTIAN CHURCH,Chicago,IL,1
11902,12/31/17 00:00,5898,1016482,1,PATTERSON,ARKADELPHIA,AR,1
14676,12/31/17 00:00,7564,632380,1,PEACH STATE,LAWRENCEVILLE,GA,1
62710,12/31/17 00:00,16967,746595,2,PELICAN STATE,BATON ROUGE,LA,1
665,12/31/17 00:00,342,949471,1,PENINSULA COMMUNITY,Shelton,WA,1
13852,12/31/17 00:00,7065,315580,1,PHENIX PRIDE,PHENIX CITY,AL,1
63971,12/31/17 00:00,18199,52492,2,POINT WEST,Portland,OR,1
67319,12/31/17 00:00,22470,837297,2,PRIORITY,ORLANDO,FL,1
2711,12/31/17 00:00,1261,700878,1,PROFINANCE,MERRILLVILLE,IN,1
68592,12/31/17 00:00,26421,3741528,2,PROMISE,Houston,TX,1
60683,12/31/17 00:00,15099,431592,2,PUBLIC SERVICE,ROMULUS,MI,1
24826,12/31/17 00:00,18598,112592,1,PYRAMID,Tucson,AZ,1
22344,12/31/17 00:00,12482,555087,1,QUEENS CLUSTER,HICKSVILLE,NY,1
12225,12/31/17 00:00,6086,117382,1,RAPIDES,ALEXANDRIA,LA,1
22005,12/31/17 00:00,12163,891084,1,RED RIVER MILL EMPLOYEES,NATCHITOCHES,LA,1
15072,12/31/17 00:00,7792,1001880,1,REGIONAL,HAMMOND,IN,1
68439,12/31/17 00:00,762,473275,2,RESOURCE ONE,Dallas,TX,1
1282,12/31/17 00:00,635,230674,1,RICHMOND HERITAGE,Richmond,VA,1
62573,12/31/17 00:00,16832,475493,2,RIO GRANDE,ALBUQUERQUE,NM,1
61734,12/31/17 00:00,16048,6897,2,RIO GRANDE VALLEY CREDIT UNION,Harlingen,TX,1
64283,12/31/17 00:00,18511,581590,2,RIVER REGION,Jefferson City,MO,1
12890,12/31/17 00:00,6478,6888,1,RIVERWAYS,ROLLA,MO,1
66834,12/31/17 00:00,21056,961295,2,ROYAL,EAU CLAIRE,WI,1
24520,12/31/17 00:00,21898,315898,1,SANTA ANA,SANTA ANA,CA,1
64029,12/31/17 00:00,18257,162494,2,SANTA CRUZ COMMUNITY,Santa Cruz,CA,1
7835,12/31/17 00:00,3647,161086,1,SCE,EL MONTE,CA,1
854,12/31/17 00:00,423,858274,1,SEASONS,Middletown,CT,1
68315,12/31/17 00:00,22333,74793,2,SEATTLE METROPOLITAN,SEATTLE,WA,1
61159,12/31/17 00:00,15523,280295,2,SECURITY,GRAND BLANC,MI,1
63196,12/31/17 00:00,17438,423092,2,SELCO COMMUNITY,Springfield,OR,1
3064,12/31/17 00:00,1404,794671,1,SELECT,SAN ANTONIO,TX,1
24802,12/31/17 00:00,26418,3805055,1,SELF-HELP,DURHAM,NC,1
66258,12/31/17 00:00,20481,896191,2,SELF-HELP,DURHAM,NC,1
10257,12/31/17 00:00,4967,727183,1,SENTINEL,BOX ELDER,SD,1
24811,12/31/17 00:00,16871,974697,1,SHUFORD,HICKORY,NC,1
61682,12/31/17 00:00,16003,961192,2,SISKIYOU CENTRAL CU,YREKA,CA,1
68513,12/31/17 00:00,26376,3176698,2,SMART CHOICE,CLEVELAND,TN,1
19433,12/31/17 00:00,10257,80589,1,SOFTITE COMMUNITY,Martins Ferry,OH,1
64222,12/31/17 00:00,18450,389291,2,SOUTH CENTRAL MISSOURI,Willow Springs,MO,1
24704,12/31/17 00:00,26386,3223921,1,SOUTH SIDE COMMUNITY,Chicago,IL,1
9107,12/31/17 00:00,4300,114082,1,SOUTHERN CHAUTAUQUA,Lakewood,NY,1
67550,12/31/17 00:00,22650,664895,2,SOUTHWEST 66,ODESSA,TX,1
60400,12/31/17 00:00,14847,98995,2,ST. LOUIS COMMUNITY,Saint Louis,MO,1
61566,12/31/17 00:00,15895,1015999,2,ST. MARK,CHICAGO,IL,1
7428,12/31/17 00:00,3416,294087,1,STRAITS AREA,CHEBOYGAN,MI,1
68645,12/31/17 00:00,13171,25085,2,SUNCOAST,Tampa,FL,1
23865,12/31/17 00:00,13994,984995,1,SYRACUSE COOPERATIVE,Syracuse,NY,1
1316,12/31/17 00:00,652,786975,1,TALLAHASSEE-LEON,TALLAHASSEE,FL,1
352,12/31/17 00:00,188,582074,1,TAMPA BAY,TAMPA,FL,1
67465,12/31/17 00:00,22957,720791,2,TEXAS BAY,HOUSTON,TX,1
1879,12/31/17 00:00,902,156073,1,TEXAS COMMUNITY,KINGSVILLE,TX,1
24862,12/31/17 00:00,26450,4842392,1,THE FINEST,NEW YORK,NY,1
10283,12/31/17 00:00,4983,816984,1,THE FOCUS,OKLAHOMA CITY,OK,1
6,12/31/17 00:00,7,54571,1,THE NEW ORLEANS FIREMEN'S,METAIRIE,LA,1
21305,12/31/17 00:00,11538,485184,1,THE UNITED,Morgantown,WV,1
13121,12/31/17 00:00,6614,879989,1,TIDEMARK,SEAFORD,DE,1
24524,12/31/17 00:00,16602,220590,1,TINKER,OKLAHOMA CITY,OK,1
24578,12/31/17 00:00,26261,2489449,1,TOLEDO URBAN,Toledo,OH,1
15523,12/31/17 00:00,8059,400084,1,TONGASS,KETCHIKAN,AK,1
22369,12/31/17 00:00,12506,562683,1,TOTAL CHOICE,HAHNVILLE,LA,1
644,12/31/17 00:00,330,127475,1,TRAILHEAD,PORTLAND,OR,1
68429,12/31/17 00:00,3434,212586,2,TRAVIS,VACAVILLE,CA,1
24104,12/31/17 00:00,14232,229892,1,TROUVAILLE,Philadelphia,PA,1
24629,12/31/17 00:00,24004,392198,1,TRUST,Chattanooga,TN,1
5718,12/31/17 00:00,2494,814672,1,TUCOEMAS,VISALIA,CA,1
60485,12/31/17 00:00,14922,546290,2,TUSCALOOSA,TUSCALOOSA,AL,1
67764,12/31/17 00:00,21878,276896,2,UBC,SAINT LOUIS,MO,1
24767,12/31/17 00:00,26404,3450754,1,UNIFIED HOMEOWNERS OF ILLINOIS,CHICAGO,IL,1
24781,12/31/17 00:00,26412,3593343,1,UNION BAPTIST CHURCH,FORT WAYNE,IN,1
63597,12/31/17 00:00,17831,778194,2,UNITED,Mexico,MO,1
68410,12/31/17 00:00,1877,286073,2,UNITED CONSUMERS,Independence,MO,1
12570,12/31/17 00:00,6281,621384,1,UNIVERSITY OF LOUISIANA,Lafayette,LA,1
20842,12/31/17 00:00,11185,785688,1,UNO,NEW ORLEANS,LA,1
24484,12/31/17 00:00,15154,438395,1,UPSTATE,Anderson,SC,1
67720,12/31/17 00:00,24040,510693,2,US COMMUNITY,NASHVILLE,TN,1
64418,12/31/17 00:00,18646,416197,2,VERIDIAN,WATERLOO,IA,1
13492,12/31/17 00:00,6819,972983,1,VISION FINANCIAL,DURHAM,NC,1
68677,12/31/17 00:00,4708,956880,2,VOCAL,HELENA,MT,1
5928,12/31/17 00:00,2604,367075,1,WAYNE-WESTLAND,WESTLAND,MI,1
17749,12/31/17 00:00,9362,463481,1,WHITE EARTH RESERVATION,Mahnomen,MN,1
23938,12/31/17 00:00,14066,37293,1,WJC,DAMASCUS,VA,1
66479,12/31/17 00:00,20701,150491,2,WORKERS,FITCHBURG,MA,1
5732,12/31/17 00:00,2500,1008571,1,YS,YELLOW SPRINGS,OH,1
6711,12/31/17 00:00,3028,751889,1,SANTA BARBARA COUNTY,SANTA BARBARA,CA,
7723,12/31/17 00:00,3580,68082,1,360,WINDSOR LOCKS,CT,
24670,12/31/17 00:00,18085,725291,1,1199 SEIU,New York,NY,
61605,12/31/17 00:00,15930,916398,2,121 FINANCIAL,Jacksonville,FL,
13028,12/31/17 00:00,6562,720689,1,167TH TFR,Martinsburg,WV,
7448,12/31/17 00:00,3424,497383,1,1ST ADVANTAGE,Newport News,VA,
67022,12/31/17 00:00,21243,480497,2,1ST CLASS EXPRESS,WAUKESHA,WI,
8715,12/31/17 00:00,4102,328085,1,1ST COMMUNITY,SAN ANGELO,TX,
67012,12/31/17 00:00,21233,203294,2,1ST COMMUNITY,SPARTA,WI,
24627,12/31/17 00:00,15237,257596,1,1ST COOPERATIVE,Cayce,SC,
65412,12/31/17 00:00,19640,94997,2,1ST ED CREDIT UNION,Chambersburg,PA,
63124,12/31/17 00:00,17366,303998,2,1ST GATEWAY,CAMANCHE,IA,
10375,12/31/17 00:00,5047,174581,1,1ST LIBERTY,Great Falls,MT,
63932,12/31/17 00:00,18160,864293,2,1ST MIDAMERICA,Bethalto,IL,
21073,12/31/17 00:00,11358,767385,1,1ST MISSISSIPPI,Meridian,MS,
68668,12/31/17 00:00,2835,11387,2,1ST NORTHERN CALIFORNIA,MARTINEZ,CA,
64232,12/31/17 00:00,18460,193591,2,1ST RESOURCE,BIRMINGHAM,AL,
63958,12/31/17 00:00,18186,40190,2,1ST UNITED SERVICES,Pleasanton,CA,
67483,12/31/17 00:00,22934,779593,2,1ST UNIVERSITY,Waco,TX,
68027,12/31/17 00:00,21907,32092,2,1ST VALLEY,SAN BERNARDINO,CA,
62827,12/31/17 00:00,17080,873295,2,2 RIVERS AREA,KANKAKEE,IL,
16954,12/31/17 00:00,8896,975881,1,20TH CENTURY FOX,Los Angeles,CA,
14226,12/31/17 00:00,7289,106283,1,3RD DISTRICT HIGHWAY,LAFAYETTE,LA,
61365,12/31/17 00:00,15714,16690,2,4FRONT,Traverse City,MI,
64878,12/31/17 00:00,19106,263494,2,5 STAR COMMUNITY,MOUNT PLEASANT,IA,
96652,12/31/17 00:00,25206,683391,3,540 I.B.E.W.,Massillon,OH,
5256,12/31/17 00:00,2251,727679,1,600 ATLANTIC,BOSTON,MA,
2505,12/31/17 00:00,1163,885878,1,77TH STREET DEPOT,Chicago,IL,
3741,12/31/17 00:00,1684,314976,1,A & S,Aliquippa,PA,
8512,12/31/17 00:00,3995,242387,1,A C M G,SOLVAY,NY,
17339,12/31/17 00:00,9119,272487,1,A H E PLANT 3,WINCHESTER,IN,
19131,12/31/17 00:00,10067,266084,1,A L E C,BATON ROUGE,LA,
23899,12/31/17 00:00,14027,805193,1,A M E CHURCH,Baton Rouge,LA,
200,12/31/17 00:00,109,540270,1,A T & T EMPLOYEES PITTSBURGH,Pittsburgh,PA,
66972,12/31/17 00:00,21193,234793,2,A. B. & W.  EMP. CREDIT UNION INC,ALEXANDRIA,VA,
4915,12/31/17 00:00,2123,685872,1,A. E. A.,YUMA,AZ,
60648,12/31/17 00:00,15066,519397,2,A.A.E.C.,ARLINGTON HEIGH,IL,
14879,12/31/17 00:00,7689,665584,1,A.B.,ALTOONA,PA,
5885,12/31/17 00:00,2584,478672,1,A.B.D.,WARREN,MI,
11867,12/31/17 00:00,5877,829386,1,A.C.P.E.,LARAMIE,WY,
64967,12/31/17 00:00,19195,143297,2,A.S.H. EMPLOYEES,ANNA,IL,
68161,12/31/17 00:00,23846,642099,2,A.U.B. EMPLOYEES',Athens,TN,
6178,12/31/17 00:00,2749,775380,1,A+,AUSTIN,TX,
3412,12/31/17 00:00,1548,591375,1,AAA,South Bend,IN,
62217,12/31/17 00:00,16500,206491,2,AAC,Grand Rapids,MI,
